Timestamp,PersonID,EAR,MAR,PERCLOS,Pitch,Yaw,Roll,BlinkCount,YawnCount,FatigueScore,Status
2026-06-20 13:53:15,1,0.153,0.005,0.0,174.0,-0.0,-0.6,0,0,0.3,Alert
2026-06-20 13:53:16,1,0.179,0.032,1.0,172.6,0.9,-0.2,0,0,39.7,Normal
2026-06-20 13:53:17,1,0.172,0.033,1.0,172.4,-2.1,-0.4,0,0,48.5,Fatigue Starting
2026-06-20 13:53:18,1,0.226,0.851,1.0,179.9,22.3,-0.8,0,0,78.8,Drowsy
2026-06-20 13:53:19,1,0.132,0.732,1.0,-179.8,12.1,-1.0,0,0,99.1,Sleeping
2026-06-20 13:53:20,1,0.107,0.361,1.0,177.2,5.4,-0.9,0,1,86.6,Sleeping
2026-06-20 13:53:21,1,0.094,0.016,1.0,177.4,-5.6,-0.8,0,1,68.8,Drowsy
2026-06-20 13:53:22,1,0.144,0.014,1.0,175.7,-0.7,-0.2,0,1,68.8,Drowsy
2026-06-20 13:53:23,1,0.289,0.103,0.911,175.9,40.2,-179.5,1,1,41.6,Fatigue Starting
2026-06-20 13:53:24,1,0.144,0.011,0.872,177.6,-4.6,-1.6,1,1,44.2,Fatigue Starting
2026-06-20 13:53:25,1,0.104,0.011,0.885,174.0,-2.0,-1.5,1,1,52.9,Fatigue Starting
2026-06-20 13:53:26,1,0.108,0.008,0.897,177.2,0.9,-1.7,1,1,62.0,Drowsy
2026-06-20 13:53:27,1,0.129,0.01,0.905,176.8,1.1,-1.7,1,1,70.7,Drowsy
2026-06-20 13:53:28,1,0.162,0.005,0.913,176.4,-1.5,-1.7,1,1,75.7,Drowsy
2026-06-20 13:53:29,1,0.17,0.007,0.919,176.2,-2.2,-1.5,1,1,75.7,Drowsy
2026-06-20 13:53:30,1,0.131,0.087,0.924,179.6,0.3,-2.1,1,1,75.7,Drowsy
2026-06-20 13:53:31,1,0.11,0.974,0.929,-175.7,-28.4,-0.9,1,1,99.9,Sleeping
2026-06-20 13:53:32,1,0.097,0.944,0.933,-178.8,-35.2,-0.4,1,1,100.0,Sleeping
2026-06-20 13:53:33,1,0.094,1.034,0.936,-176.0,-31.7,-0.0,1,1,100.0,Sleeping
2026-06-20 13:53:34,1,0.121,0.878,0.94,179.6,-38.5,-1.6,1,1,91.1,Sleeping
2026-06-20 13:53:35,1,0.308,0.032,0.906,173.2,-15.8,-2.9,2,2,43.4,Fatigue Starting
2026-06-20 13:53:36,1,0.297,0.024,0.868,172.9,-12.3,-2.5,3,2,40.7,Fatigue Starting
2026-06-20 13:53:37,1,0.265,0.025,0.827,173.4,-4.1,-2.1,3,2,40.7,Fatigue Starting
2026-06-20 13:53:38,1,0.361,0.252,0.811,176.4,11.1,-0.4,4,2,41.3,Fatigue Starting
2026-06-20 13:53:39,1,0.255,0.762,0.776,-173.6,-6.2,-0.7,4,2,57.2,Fatigue Starting
2026-06-20 13:53:40,1,0.163,0.77,0.782,-173.0,-7.7,-2.7,4,2,83.0,Sleeping
2026-06-20 13:53:41,1,0.252,0.828,0.79,-175.5,-2.7,-4.5,5,2,88.6,Sleeping
2026-06-20 13:53:42,1,0.26,0.791,0.761,-174.5,-1.6,-4.8,5,2,56.1,Fatigue Starting
2026-06-20 13:53:43,1,0.402,0.742,0.741,-179.0,8.7,-6.8,6,2,48.9,Fatigue Starting
2026-06-20 13:53:49,2,0.36,0.012,0.0,166.5,-3.4,-5.5,0,0,0.2,Alert
2026-06-20 13:53:50,2,0.34,0.014,0.0,176.2,0.9,-0.3,0,0,1.5,Alert
2026-06-20 13:53:51,2,0.296,0.897,0.0,-177.1,9.5,-1.5,0,0,17.4,Alert
2026-06-20 13:53:52,2,0.262,0.842,0.0,-177.6,13.7,-2.5,0,0,17.5,Alert
2026-06-20 13:53:53,2,0.295,0.67,0.0,-176.6,8.5,-1.3,0,0,17.5,Alert
2026-06-20 13:53:54,2,0.325,0.02,0.0,176.2,-0.7,-1.3,0,1,4.1,Alert
2026-06-20 13:53:55,2,0.158,0.02,0.044,177.1,1.1,-2.4,0,1,7.6,Alert
2026-06-20 13:53:56,2,0.37,0.033,0.141,175.9,-2.1,-1.7,1,1,24.9,Normal
2026-06-20 13:53:57,2,0.365,0.033,0.124,175.6,-1.8,-1.9,1,1,23.3,Normal
2026-06-20 13:53:58,2,0.287,0.03,0.122,175.6,1.6,-3.2,2,1,19.6,Alert
2026-06-20 13:53:59,2,0.332,0.034,0.11,175.4,0.7,-2.6,2,1,18.4,Alert
2026-06-20 13:54:00,2,0.313,0.032,0.1,173.7,1.9,-1.9,2,1,17.3,Alert
2026-06-20 13:54:01,2,0.316,0.051,0.144,160.9,7.6,-4.8,3,1,25.7,Normal
2026-06-20 13:54:02,2,0.301,0.03,0.134,169.7,-2.3,-1.3,3,1,22.0,Normal
2026-06-20 13:54:03,2,0.335,0.012,0.125,169.0,8.7,-3.4,3,1,21.1,Normal
2026-06-20 13:54:04,2,0.272,0.015,0.126,168.5,4.1,-1.7,4,1,20.5,Normal
2026-06-20 13:54:05,2,0.362,0.023,0.118,167.6,4.2,-2.2,4,1,19.2,Alert
2026-06-20 13:54:06,2,0.331,0.029,0.122,170.9,-2.4,5.5,5,1,17.4,Alert
2026-06-20 13:54:07,2,0.333,0.061,0.115,170.3,-0.2,6.4,5,1,16.7,Alert
2026-06-20 13:54:08,2,0.311,0.009,0.109,176.8,-2.5,1.3,5,1,16.1,Alert
2026-06-20 13:54:09,2,0.323,0.031,0.104,177.3,1.1,-0.1,5,1,15.5,Alert
2026-06-20 13:54:10,2,0.295,0.644,0.099,-175.9,3.1,-2.5,5,1,26.3,Normal
2026-06-20 13:54:11,2,0.193,1.068,0.109,-171.3,-4.1,-2.6,5,1,42.1,Fatigue Starting
